"","SHIP_ID","ship_type","SHIPNAME","port","FLAG","position"
"105",146069,"Cargo","SPANACO FIDELITY","Klaipeda","AG","55.71562 21.11 55.72241 21.09879 1033.34644222192"
"106",146097,"Cargo","WILHELM","St. Petersburg","CY","59.89294 30.22716 59.89277 30.2269 23.8863969917349"
"107",146140,"Cargo","WILSON SUND","Kalingrad","CY","54.69806 20.45276 54.698 20.45283 8.06094088114255"
"108",146336,"Cargo","BELBEK","St. Petersburg","CY","59.91674 30.02597 59.92099 30.00478 1276.37200272902"
"109",148345,"Tanker","TEKOS","St. Petersburg","RU","59.88132 30.2292 59.8825 30.22828 141.198471583773"
"110",148995,"Cargo","BALTICA","gothenborg","FI","57.6458 11.70329 57.63161 11.68412 1951.53589551151"
"111",149302,"Tanker","SEAEMPRESS","gothenborg","MT","57.65883 11.76585 57.66497 11.7813 1148.06860859998"
"112",149310,"Tanker","MURRAY STAR","Gdańsk","MT","54.4347 18.93194 54.43482 18.95198 1300.47604170136"
"113",149310,"Tanker","MURRAY STAR","Gdynia","MT","54.4347 18.93194 54.43482 18.95198 1300.47604170136"
"114",149677,"Passenger","PRINCESS ANASTASIA","St. Petersburg","MT","59.91652 30.02609 59.91213 30.04772 1305.17815618665"
"115",150545,"Cargo","RIG","Klaipeda","MT","55.72821 21.06735 55.71651 21.10869 2906.08317380491"
"116",150705,"Cargo","CATHARINA SCHULTE","Gdynia","MT","54.53396 18.55884 54.52669 18.56057 816.972440878662"
"117",151630,"Cargo","HENNEKE RAMBOW","St. Petersburg","DE","59.90027 30.10585 59.90508 30.08266 1404.08687155084"
"118",151751,"Tanker","SEAMARLIN","Gdynia","DE","54.53357 18.5618 54.5336 18.56182 3.58163678100726"
"119",151919,"Fishing","KRISTIN","gothenborg","DE","57.60079 11.64452 57.60241 11.81972 10476.4402691259"
"120",151978,"Fishing","VICTORIA","gothenborg","DE","57.74051 11.60408 57.74534 11.61588 885.011053934861"
"121",152647,"Tanker","SEABASS","Klaipeda","DE","55.76583 20.80123 55.77108 20.819 1259.22511813535"
"122",152955,"Cargo","WALTER HAMMANN","gothenborg","DE","57.62553 11.68675 57.64769 11.7103 2840.71181713031"
"123",153800,"Cargo","AMANDA","gothenborg","DK","57.94727 11.69585 57.93981 11.68622 1007.78899650849"
"124",154769,"Tanker","SCANDINAVIA","gothenborg","DK","57.67654 11.80368 57.68291 11.83696 2108.42163472564"
"125",154872,"Fishing","CHRISTINA MICHELLE","Gdynia","DK","54.79703 18.43237 54.79712 18.42093 735.851190146062"
"126",155138,"Tug","SUPPLIER","gothenborg","DK","57.62333 11.80992 57.63467 11.82315 1489.89069154378"
"127",155229,"Tanker","TARNBRIS","gothenborg","DK","57.93065 11.6717 57.95887 11.71158 3931.55080041546"
"128",155585,"Cargo","TENDER1","gothenborg","DK","57.64594 11.85902 57.61285 11.80496 4900.21005199692"
"129",155711,"Cargo","MAERSKMCKINNEYMOLLER","Gdańsk","DK","54.45481 18.99613 54.78387 18.98247 36640.4352809898"
"130",155711,"Cargo","MAERSKMCKINNEYMOLLER","Gdynia","DK","54.45481 18.99613 54.78387 18.98247 36640.4352809898"
"131",155712,"Tanker","PACIFIC","gothenborg","DK","57.65675 11.7552 57.66047 11.77207 1088.94053108649"
"132",156111,"Tanker","TERNVAG","gothenborg","DK","57.63937 11.69865 57.64993 11.71384 1485.26585753019"
"133",156114,"Tanker","TERNHAV","gothenborg","DK","57.64655 11.7016 57.63419 11.68644 1647.62863718367"
"134",156246,"Tanker","MARINUS","Gdańsk","DK","54.79558 18.92765 57.60408 11.61143 550912.045317894"
